NAMESPACE      LAST SEEN   TYPE      REASON                    OBJECT                                 MESSAGE
kube-system    10m         Normal    LeaderElection            lease/kube-controller-manager          ip-10-0-117-200.ec2.internal_949edf00-88cf-4a72-b374-4ec2acc20062 became leader
upgrade-demo   10m         Normal    EnsuringLoadBalancer      service/nginx-service                  Ensuring load balancer
kube-system    10m         Normal    LeaderElection            lease/cloud-controller-manager         ip-10-0-34-56.ec2.internal_0cf97cc8-110c-40a2-9f69-684fbe774ed9 became leader
default        10m         Normal    RegisteredNode            node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal event: Registered Node ip-192-168-17-4.ec2.internal in Controller
default        10m         Normal    RegisteredNode            node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal event: Registered Node ip-192-168-48-229.ec2.internal in Controller
upgrade-demo   10m         Normal    EnsuredLoadBalancer       service/nginx-service                  Ensured load balancer
kube-system    9m55s       Normal    LeaderElection            lease/eks-coredns-autoscaler           ip-10-0-117-200.ec2.internal_c8225bf0-de13-4601-81f4-58bc4171e052 became leader
kube-system    9m53s       Normal    LeaderElection            lease/eks-certificates-controller      ip-10-0-117-200.ec2.internal became leader
kube-system    9m49s       Normal    LeaderElection            lease/cp-vpc-resource-controller       ip-10-0-34-56.ec2.internal_c0d9f5bb-35a6-43de-aaf0-eaa02ab368af became leader
default        9m19s       Warning   InvalidDiskCapacity       node/ip-192-168-5-209.ec2.internal     invalid capacity 0 on image filesystem
default        9m19s       Normal    NodeHasSufficientPID      node/ip-192-168-57-200.ec2.internal    Node ip-192-168-57-200.ec2.internal status is now: NodeHasSufficientPID
default        9m19s       Normal    NodeHasSufficientPID      node/ip-192-168-5-209.ec2.internal     Node ip-192-168-5-209.ec2.internal status is now: NodeHasSufficientPID
default        9m19s       Normal    NodeAllocatableEnforced   node/ip-192-168-5-209.ec2.internal     Updated Node Allocatable limit across pods
default        9m19s       Normal    NodeAllocatableEnforced   node/ip-192-168-57-200.ec2.internal    Updated Node Allocatable limit across pods
default        9m19s       Normal    NodeHasNoDiskPressure     node/ip-192-168-5-209.ec2.internal     Node ip-192-168-5-209.ec2.internal status is now: NodeHasNoDiskPressure
default        9m19s       Normal    NodeHasNoDiskPressure     node/ip-192-168-57-200.ec2.internal    Node ip-192-168-57-200.ec2.internal status is now: NodeHasNoDiskPressure
default        9m19s       Normal    NodeHasSufficientMemory   node/ip-192-168-57-200.ec2.internal    Node ip-192-168-57-200.ec2.internal status is now: NodeHasSufficientMemory
default        9m19s       Normal    Starting                  node/ip-192-168-57-200.ec2.internal    Starting kubelet.
default        9m19s       Normal    NodeHasSufficientMemory   node/ip-192-168-5-209.ec2.internal     Node ip-192-168-5-209.ec2.internal status is now: NodeHasSufficientMemory
default        9m19s       Normal    Starting                  node/ip-192-168-5-209.ec2.internal     Starting kubelet.
default        9m16s       Normal    Synced                    node/ip-192-168-5-209.ec2.internal     Node synced successfully
kube-system    9m16s       Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-snwx5
kube-system    9m16s       Normal    Scheduled                 pod/kube-proxy-snwx5                   Successfully assigned kube-system/kube-proxy-snwx5 to ip-192-168-5-209.ec2.internal
kube-system    9m16s       Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-84l6v
kube-system    9m16s       Normal    Scheduled                 pod/aws-node-84l6v                     Successfully assigned kube-system/aws-node-84l6v to ip-192-168-5-209.ec2.internal
kube-system    9m15s       Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-422sf
kube-system    9m15s       Normal    Scheduled                 pod/kube-proxy-hmg9l                   Successfully assigned kube-system/kube-proxy-hmg9l to ip-192-168-57-200.ec2.internal
default        9m15s       Normal    Synced                    node/ip-192-168-57-200.ec2.internal    Node synced successfully
kube-system    9m15s       Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-hmg9l
kube-system    9m15s       Normal    Scheduled                 pod/aws-node-422sf                     Successfully assigned kube-system/aws-node-422sf to ip-192-168-57-200.ec2.internal
kube-system    9m14s       Normal    Pulling                   pod/aws-node-84l6v                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2"
kube-system    9m14s       Normal    Pulling                   pod/kube-proxy-snwx5                   Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11"
kube-system    9m14s       Normal    Pulling                   pod/kube-proxy-hmg9l                   Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11"
kube-system    9m14s       Normal    Pulling                   pod/aws-node-422sf                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2"
default        9m13s       Normal    RegisteredNode            node/ip-192-168-5-209.ec2.internal     Node ip-192-168-5-209.ec2.internal event: Registered Node ip-192-168-5-209.ec2.internal in Controller
default        9m13s       Normal    RegisteredNode            node/ip-192-168-57-200.ec2.internal    Node ip-192-168-57-200.ec2.internal event: Registered Node ip-192-168-57-200.ec2.internal in Controller
kube-system    9m11s       Normal    Created                   pod/kube-proxy-snwx5                   Container created
kube-system    9m11s       Normal    Started                   pod/kube-proxy-hmg9l                   Container started
kube-system    9m11s       Normal    Created                   pod/kube-proxy-hmg9l                   Container created
kube-system    9m11s       Normal    Pulled                    pod/kube-proxy-hmg9l                   Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11" in 3.317s (3.317s including waiting). Image size: 31812938 bytes.
kube-system    9m11s       Normal    Started                   pod/kube-proxy-snwx5                   Container started
kube-system    9m11s       Normal    Pulled                    pod/kube-proxy-snwx5                   Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.11" in 3.418s (3.418s including waiting). Image size: 31812938 bytes.
kube-system    9m10s       Normal    Created                   pod/aws-node-84l6v                     Container created
kube-system    9m10s       Normal    Pulled                    pod/aws-node-422sf                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2" in 3.787s (3.787s including waiting). Image size: 71910459 bytes.
kube-system    9m10s       Normal    Pulled                    pod/aws-node-84l6v                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.21.2-eksbuild.2" in 4.038s (4.038s including waiting). Image size: 71910459 bytes.
kube-system    9m10s       Normal    Started                   pod/aws-node-84l6v                     Container started
kube-system    9m10s       Normal    Started                   pod/aws-node-422sf                     Container started
kube-system    9m10s       Normal    Created                   pod/aws-node-422sf                     Container created
kube-system    9m8s        Normal    Pulling                   pod/aws-node-84l6v                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2"
kube-system    9m8s        Normal    Pulling                   pod/aws-node-422sf                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2"
kube-system    9m6s        Normal    Pulled                    pod/aws-node-84l6v                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2" in 2.245s (2.245s including waiting). Image size: 54065082 bytes.
kube-system    9m6s        Normal    Pulled                    pod/aws-node-422sf                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2" in 2.252s (2.252s including waiting). Image size: 54065082 bytes.
kube-system    9m6s        Normal    Pulling                   pod/aws-node-422sf                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3"
kube-system    9m6s        Normal    Created                   pod/aws-node-84l6v                     Container created
kube-system    9m6s        Normal    Started                   pod/aws-node-422sf                     Container started
kube-system    9m6s        Normal    Created                   pod/aws-node-422sf                     Container created
kube-system    9m5s        Normal    Started                   pod/aws-node-84l6v                     Container started
kube-system    9m5s        Normal    Pulling                   pod/aws-node-84l6v                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3"
kube-system    9m4s        Normal    Pulled                    pod/aws-node-422sf                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3" in 1.452s (1.452s including waiting). Image size: 36453590 bytes.
kube-system    9m4s        Normal    Created                   pod/aws-node-84l6v                     Container created
kube-system    9m4s        Normal    Started                   pod/aws-node-84l6v                     Container started
kube-system    9m4s        Normal    Started                   pod/aws-node-422sf                     Container started
kube-system    9m4s        Normal    Created                   pod/aws-node-422sf                     Container created
kube-system    9m4s        Normal    Pulled                    pod/aws-node-84l6v                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3" in 1.568s (1.568s including waiting). Image size: 36453590 bytes.
default        9m3s        Normal    NodeReady                 node/ip-192-168-57-200.ec2.internal    Node ip-192-168-57-200.ec2.internal status is now: NodeReady
default        9m3s        Normal    NodeReady                 node/ip-192-168-5-209.ec2.internal     Node ip-192-168-5-209.ec2.internal status is now: NodeReady
default        8m39s       Normal    NodeNotSchedulable        node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeNotSchedulable
default        8m36s       Normal    NodeNotSchedulable        node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeNotSchedulable
upgrade-demo   7m41s       Normal    Killing                   pod/nginx-demo-787b5dd6c9-mq8fm        Stopping container nginx
upgrade-demo   7m41s       Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-tkh4t        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-tkh4t to ip-192-168-5-209.ec2.internal
kube-system    7m41s       Normal    Pulling                   pod/coredns-5959c9b9c4-bz2dz           Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10"
kube-system    7m41s       Normal    SuccessfulCreate          replicaset/coredns-5959c9b9c4          Created pod: coredns-5959c9b9c4-bz2dz
kube-system    7m41s       Normal    SuccessfulCreate          replicaset/metrics-server-7b78764d44   Created pod: metrics-server-7b78764d44-f9sqv
upgrade-demo   7m41s       Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-tkh4t
kube-system    7m41s       Normal    Killing                   pod/metrics-server-7b78764d44-h2l6v    Stopping container metrics-server
kube-system    7m41s       Normal    Scheduled                 pod/coredns-5959c9b9c4-bz2dz           Successfully assigned kube-system/coredns-5959c9b9c4-bz2dz to ip-192-168-57-200.ec2.internal
kube-system    7m41s       Normal    Killing                   pod/coredns-5959c9b9c4-gs8xh           Stopping container coredns
